user_id,age,gender,has_children,home_country,home_city,years_on_platform,total_trips_booked,total_sessions,avg_session_duration_s,total_clicks,total_trip_duration,total_distance_flown,total_flight_discount_count,total_hotel_discount_count,total_spent_flights,total_spent_hotels,avg_seats_booked,avg_bags_booked,avg_nights_hotel,avg_rooms_hotel,booking_rate_per_session,booking_segment,age_buckets,customer_value_score,perk
23557,66,F,False,usa,new york,4,2,8,76.625,82,0.0,0.0,8,8,0.0,3670.5,,,10.0,1.5,0.25,Occasional Booker,60+,2,3% Personal Discount valid 1 year
94883,53,F,False,usa,kansas city,3,2,8,67.75,73,3.0,2907.326443980296,8,8,864.0899999999999,230.0,1.5,0.5,1.0,1.5,0.25,Occasional Booker,50th,1,10% Discount for Next Booking valid 6 months
101486,52,F,True,usa,tacoma,3,2,8,122.25,131,4.0,965.3668814117877,8,8,189.91,2199.0,1.0,0.0,4.0,1.5,0.25,Occasional Booker,50th,3,One-time free breakfast for the entire stay
101961,44,F,False,usa,boston,3,5,8,117.75,126,24.0,6608.348837481404,8,8,1237.693,2429.0,1.0,0.4,3.8,1.0,0.625,Frequent Booker,40th,2,3% Personal Discount valid 1 year
106907,46,F,True,usa,miami,3,0,6,169.5,136,0.0,0.0,6,6,0.0,0.0,,,,,0.0,Low Booker,40th,2,3% Personal Discount valid 1 year
118043,53,F,True,usa,los angeles,3,5,8,153.125,164,14.0,7365.06473949741,8,8,2339.29,5616.45,2.0,1.0,5.5,1.25,0.625,Frequent Booker,50th,4,Free flight or hotel upgrade
120851,52,F,True,usa,santa ana,3,1,8,51.75,55,12.0,2249.8669414294654,8,8,384.68,2002.0,1.0,0.0,11.0,1.0,0.125,Low Booker,50th,1,10% Discount for Next Booking valid 6 months
125845,41,F,False,usa,el paso,3,3,9,131.77777777777777,159,10.0,8102.254836437056,9,9,1646.763,689.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.3333333333333333,Occasional Booker,40th,3,One-time free breakfast for the entire stay
133058,20,F,False,usa,austin,3,1,8,68.125,73,4.0,2708.247856036994,8,8,423.51,0.0,1.0,0.0,,,0.125,Low Booker,under 30,1,10% Discount for Next Booking valid 6 months
149058,52,F,True,usa,birmingham,3,5,8,131.75,142,33.0,9523.66189955201,8,8,1919.1325000000002,5579.0,1.2,0.4,5.2,1.2,0.625,Frequent Booker,50th,3,One-time free breakfast for the entire stay
152583,39,F,False,usa,colorado springs,3,1,8,139.0,149,5.0,2178.8774674141614,8,8,367.83,426.0,1.0,2.0,2.0,1.0,0.125,Low Booker,30th,2,3% Personal Discount valid 1 year
153982,46,F,True,canada,toronto,3,3,8,138.5,150,8.0,3847.715921049092,8,8,656.8699999999999,681.0,1.0,0.3333333333333333,1.3333333333333333,1.0,0.375,Occasional Booker,40th,2,3% Personal Discount valid 1 year
160754,47,F,True,usa,new york,3,1,8,80.875,86,4.0,526.2668975032261,8,8,93.62,428.0,1.0,1.0,2.0,1.0,0.125,Low Booker,40th,1,10% Discount for Next Booking valid 6 months
164522,49,F,False,usa,kansas city,3,1,8,83.375,89,15.0,1786.0514295273424,8,8,311.904,3029.0,1.0,1.0,13.0,1.0,0.125,Low Booker,40th,1,10% Discount for Next Booking valid 6 months
167852,19,F,False,usa,tampa,3,0,8,58.0,63,0.0,0.0,8,8,0.0,0.0,,,,,0.0,Low Booker,under 30,1,10% Discount for Next Booking valid 6 months
171470,25,F,False,usa,atlanta,3,0,5,54.2,37,0.0,0.0,5,5,0.0,0.0,,,,,0.0,Low Booker,under 30,1,10% Discount for Next Booking valid 6 months
174997,33,F,False,usa,grand rapids,3,2,7,104.85714285714286,97,7.0,3230.132430575052,7,7,590.43,448.0,1.0,0.0,2.0,1.0,0.2857142857142857,Occasional Booker,30th,1,10% Discount for Next Booking valid 6 months
175032,30,F,False,usa,houston,3,3,9,104.33333333333333,127,7.0,2717.0182076692113,9,9,1109.25,3243.6,2.0,0.5,4.333333333333333,2.0,0.3333333333333333,Occasional Booker,30th,2,3% Personal Discount valid 1 year
181157,54,F,False,usa,houston,3,3,8,141.125,153,14.0,3582.593797908127,8,8,959.0255,4987.8,2.0,1.0,3.3333333333333335,2.0,0.375,Occasional Booker,50th,3,One-time free breakfast for the entire stay
182191,20,F,True,usa,phoenix,3,0,7,72.28571428571429,68,0.0,0.0,7,7,0.0,0.0,,,,,0.0,Low Booker,under 30,1,10% Discount for Next Booking valid 6 months
187212,56,F,True,usa,los angeles,3,3,8,118.75,128,10.0,7016.037275334939,8,8,1242.5700000000002,904.0,1.0,0.6666666666666666,2.0,1.0,0.375,Occasional Booker,50th,2,3% Personal Discount valid 1 year
189676,37,F,True,usa,fort worth,3,2,8,86.375,93,6.0,2284.520614891148,8,8,1244.31,5001.0,3.0,2.0,9.0,2.0,0.25,Occasional Booker,30th,2,3% Personal Discount valid 1 year
190866,38,F,False,usa,tallahassee,3,5,9,153.88888888888889,186,16.0,11347.518651201404,9,9,2081.0,1496.0,1.0,0.4,2.0,1.0,0.5555555555555556,Frequent Booker,30th,3,One-time free breakfast for the entire stay
195192,29,F,False,usa,chicago,3,1,8,208.375,225,3.0,1174.4648350580096,8,8,394.29,320.0,2.0,0.0,1.0,2.0,0.125,Low Booker,under 30,2,3% Personal Discount valid 1 year
204943,42,M,False,canada,ottawa,3,5,6,170.0,138,22.0,7822.54675338541,6,6,2323.822,3873.0,1.6,1.4,3.0,1.6,0.8333333333333334,Super Booker,40th,4,Free flight or hotel upgrade
204997,39,F,False,usa,kansas city,3,2,5,111.6,75,14.0,2544.5378992599008,5,5,488.47,284.0,1.0,0.5,4.0,1.0,0.4,Occasional Booker,30th,1,10% Discount for Next Booking valid 6 months
205044,41,F,True,canada,toronto,3,3,9,110.33333333333333,134,17.0,7593.114245434621,9,9,2720.6975,5642.0,2.0,0.3333333333333333,4.666666666666667,2.0,0.3333333333333333,Occasional Booker,40th,3,One-time free breakfast for the entire stay
206011,40,F,True,usa,kansas city,3,4,8,146.125,156,13.0,5894.176685575937,8,8,1024.772,1138.0,1.0,0.25,3.0,1.0,0.5,Occasional Booker,40th,3,One-time free breakfast for the entire stay
216796,24,F,False,usa,cincinnati,3,0,6,61.0,49,0.0,0.0,6,6,0.0,0.0,,,,,0.0,Low Booker,under 30,1,10% Discount for Next Booking valid 6 months
217114,21,O,True,usa,long beach,3,0,9,49.888888888888886,59,0.0,0.0,9,9,0.0,0.0,,,,,0.0,Low Booker,under 30,1,10% Discount for Next Booking valid 6 months
217136,40,F,True,usa,little rock,3,2,8,99.375,106,3.0,2867.2671303843417,8,8,539.57,659.0,1.0,0.0,2.0,1.0,0.25,Occasional Booker,40th,1,10% Discount for Next Booking valid 6 months
220725,42,F,False,usa,stockton,3,3,7,83.42857142857143,79,17.0,9246.49869641044,7,7,1533.42,962.0,1.0,0.3333333333333333,3.5,1.0,0.42857142857142855,Occasional Booker,40th,2,3% Personal Discount valid 1 year
224996,44,F,True,canada,halifax,3,2,8,94.625,102,5.0,4706.078580868634,8,8,897.61,231.0,1.0,0.0,1.0,1.0,0.25,Occasional Booker,40th,1,10% Discount for Next Booking valid 6 months
226367,44,F,False,usa,washington,3,3,8,105.5,114,9.0,4967.425862498057,8,8,883.601,1864.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.375,Occasional Booker,40th,2,3% Personal Discount valid 1 year
228195,28,F,True,usa,los angeles,3,0,9,95.77777777777777,116,0.0,0.0,9,9,0.0,0.0,,,,,0.0,Low Booker,under 30,1,10% Discount for Next Booking valid 6 months
228872,36,M,False,usa,san antonio,3,2,8,118.0,126,6.0,2770.1688067670293,8,8,509.21,1288.0,1.0,1.0,6.5,1.0,0.25,Occasional Booker,30th,1,10% Discount for Next Booking valid 6 months
229009,18,F,False,usa,stockton,3,2,6,143.83333333333334,116,5.0,5899.200183334874,6,6,1061.63,474.0,1.0,0.5,1.5,1.0,0.3333333333333333,Occasional Booker,under 30,3,One-time free breakfast for the entire stay
229108,27,F,False,usa,burlington,3,0,6,130.0,105,0.0,0.0,6,6,0.0,0.0,,,,,0.0,Low Booker,under 30,2,3% Personal Discount valid 1 year
229330,48,F,False,usa,colorado springs,3,4,8,119.625,129,14.0,4804.374442654029,8,8,1548.11,3521.0,1.75,0.25,1.75,1.75,0.5,Occasional Booker,40th,2,3% Personal Discount valid 1 year
232647,19,F,False,usa,birmingham,3,2,8,93.875,100,3.0,1391.6274111780808,8,8,237.1,2343.0,1.0,1.0,11.0,1.0,0.25,Occasional Booker,under 30,2,3% Personal Discount valid 1 year
249521,61,F,True,canada,ottawa,3,2,8,140.625,151,3.0,3551.8086444016026,8,8,642.02,369.4,1.0,1.0,1.5,1.0,0.25,Occasional Booker,60+,2,3% Personal Discount valid 1 year
252835,39,F,True,usa,chicago,3,5,8,108.25,117,21.0,9338.859094973217,8,8,1615.635,1460.0,1.0,0.6,2.75,1.0,0.625,Frequent Booker,30th,2,3% Personal Discount valid 1 year
258451,24,F,False,usa,miami,3,0,6,42.5,35,0.0,0.0,6,6,0.0,0.0,,,,,0.0,Low Booker,under 30,1,10% Discount for Next Booking valid 6 months
264470,46,F,True,usa,bakersfield,2,2,8,111.0,118,11.0,4610.315380690112,8,8,835.2175,2127.0,1.0,0.5,4.5,1.0,0.25,Occasional Booker,40th,2,3% Personal Discount valid 1 year
276512,42,F,True,usa,austin,2,1,8,91.375,98,3.0,2299.109232283091,8,8,395.69,100.0,1.0,1.0,1.0,1.0,0.125,Low Booker,40th,1,10% Discount for Next Booking valid 6 months
281952,38,F,False,usa,louisville,2,2,8,146.375,158,4.0,3690.023381227278,8,8,684.72,236.29999999999998,1.0,1.5,1.0,1.0,0.25,Occasional Booker,30th,2,3% Personal Discount valid 1 year
283325,52,F,False,usa,dallas,2,2,8,105.625,114,6.0,2650.4043865499775,8,8,407.943,2884.0,1.0,0.0,3.0,1.5,0.25,Occasional Booker,50th,2,3% Personal Discount valid 1 year
290123,42,F,False,usa,houston,2,7,9,155.88888888888889,190,16.0,16804.36163372366,9,9,4796.110000000001,4605.0,1.5714285714285714,0.8571428571428571,2.5,1.6666666666666667,0.7777777777777778,Frequent Booker,40th,4,Free flight or hotel upgrade
297546,52,F,False,usa,new york,2,5,8,192.875,207,19.0,7138.990479427709,8,8,1660.72,3542.0,1.5,0.75,5.2,1.4,0.625,Frequent Booker,50th,3,One-time free breakfast for the entire stay
298253,48,F,True,usa,los angeles,2,1,8,91.75,98,2.0,3974.1871141767356,8,8,712.42,0.0,1.0,2.0,,,0.125,Low Booker,40th,1,10% Discount for Next Booking valid 6 months
299476,40,F,False,usa,atlanta,2,1,9,154.11111111111111,187,3.0,1109.6913424779268,9,9,192.38,71.0,1.0,0.0,1.0,1.0,0.1111111111111111,Low Booker,40th,2,3% Personal Discount valid 1 year
306165,22,F,False,usa,cleveland,2,0,8,82.5,89,0.0,0.0,8,8,0.0,0.0,,,,,0.0,Low Booker,under 30,1,10% Discount for Next Booking valid 6 months
306819,61,F,True,usa,new york,2,1,6,81.5,65,3.0,295.3588997281533,6,6,50.16,370.0,1.0,1.0,1.0,1.0,0.16666666666666666,Low Booker,60+,1,10% Discount for Next Booking valid 6 months
312488,32,M,False,usa,new york,2,1,8,71.0,76,1.0,2265.463024213429,8,8,407.1,299.0,1.0,1.0,1.0,1.0,0.125,Low Booker,30th,1,10% Discount for Next Booking valid 6 months
313724,53,F,False,usa,tulsa,2,4,6,144.16666666666666,117,11.0,5001.775537559309,6,6,1156.8400000000001,3392.0,1.3333333333333333,0.6666666666666666,3.75,1.5,0.6666666666666666,Frequent Booker,50th,3,One-time free breakfast for the entire stay
316527,43,F,True,canada,winnipeg,2,4,8,130.0,139,17.0,8060.375608923205,8,8,1739.89,5658.3,1.25,0.25,3.0,1.25,0.5,Occasional Booker,40th,3,One-time free breakfast for the entire stay
317688,42,F,True,usa,indianapolis,2,4,8,124.0,133,11.0,6433.504347721329,8,8,1238.74,1172.9,1.0,0.5,1.5,1.0,0.5,Occasional Booker,40th,3,One-time free breakfast for the entire stay
322867,47,F,False,usa,mobile,2,1,8,77.0,82,8.0,921.7687822464238,8,8,173.04,1323.0,1.0,1.0,7.0,1.0,0.125,Low Booker,40th,1,10% Discount for Next Booking valid 6 months
324191,41,F,False,usa,san diego,2,2,8,80.125,86,12.0,351.3184864664384,8,8,99.74,1610.0,1.5,0.5,4.5,1.5,0.25,Occasional Booker,40th,2,3% Personal Discount valid 1 year
328590,57,F,False,usa,san diego,2,2,6,129.16666666666666,104,13.0,6085.22769821565,6,6,2203.95,2596.25,2.0,0.5,4.5,2.0,0.3333333333333333,Occasional Booker,50th,3,One-time free breakfast for the entire stay
330764,40,F,False,usa,detroit,2,2,6,114.66666666666667,92,0.0,0.0,6,6,0.0,1094.0,,,4.5,1.0,0.3333333333333333,Occasional Booker,40th,1,10% Discount for Next Booking valid 6 months
330893,44,F,True,usa,oklahoma city,2,3,8,124.0,133,10.0,4748.393073122816,8,8,861.61,750.0,1.0,0.6666666666666666,2.0,1.0,0.375,Occasional Booker,40th,2,3% Personal Discount valid 1 year
331039,46,F,True,canada,london,2,0,6,141.0,114,0.0,0.0,6,6,0.0,0.0,,,,,0.0,Low Booker,40th,2,3% Personal Discount valid 1 year
334787,54,F,False,usa,minneapolis,2,3,8,110.875,119,9.0,4185.561104784119,8,8,749.4475,864.0,1.0,0.6666666666666666,2.0,1.0,0.375,Occasional Booker,50th,1,10% Discount for Next Booking valid 6 months
337227,36,F,False,usa,santa ana,2,0,8,77.0,83,0.0,0.0,8,8,0.0,0.0,,,,,0.0,Low Booker,30th,1,10% Discount for Next Booking valid 6 months
338086,41,F,True,usa,washington,2,2,8,128.5,137,5.0,5491.388416297796,8,8,981.69,192.0,1.0,0.5,1.5,1.0,0.25,Occasional Booker,40th,2,3% Personal Discount valid 1 year
340166,52,M,True,usa,san francisco,2,1,8,81.625,88,0.0,0.0,8,8,0.0,474.0,,,2.0,1.0,0.125,Low Booker,50th,1,10% Discount for Next Booking valid 6 months
343928,66,F,False,usa,el paso,2,2,8,112.75,122,16.0,16277.288855385206,8,8,4528.74,348.0,1.5,0.5,3.0,1.0,0.25,Occasional Booker,60+,2,3% Personal Discount valid 1 year
347778,51,F,False,usa,las vegas,2,5,9,133.33333333333334,162,15.0,12439.839259782157,9,9,4233.69,4474.0,1.6,1.0,2.25,1.75,0.5555555555555556,Frequent Booker,50th,4,Free flight or hotel upgrade
348817,29,F,False,canada,calgary,2,4,8,116.0,125,10.0,7954.419139212131,8,8,1374.6200000000001,2622.0,1.0,0.6666666666666666,2.25,1.0,0.5,Occasional Booker,under 30,2,3% Personal Discount valid 1 year
